key,value,data
Comedy,40,1950
History,4,1950
Western,22,1950
Mystery,8,1950
Adventure,12,1950
Science Fiction,4,1950
Crime,43,1950
Drama,93,1950
Documentary,1,1950
Fantasy,3,1950
Family,9,1950
Horror,1,1950
Action,16,1950
Romance,34,1950
Thriller,24,1950
War,16,1951
Animation,4,1951
Music,13,1951
Comedy,50,1951
History,4,1951
Western,18,1951
Adventure,16,1951
Fantasy,9,1951
Crime,31,1951
Documentary,2,1951
Drama,104,1951
Mystery,6,1951
Science Fiction,9,1951
Family,5,1951
Horror,4,1951
Action,24,1951
Romance,34,1951
Thriller,25,1951
War,8,1952
Animation,8,1952
Music,13,1952
Comedy,54,1952
History,6,1952
Western,25,1952
Adventure,23,1952
Fantasy,8,1952
Crime,21,1952
Documentary,2,1952
Drama,105,1952
Mystery,9,1952
Thriller,19,1952
Science Fiction,4,1952
Horror,3,1952
Action,25,1952
Romance,41,1952
Family,9,1952
War,12,1953
Crime,22,1953
Music,16,1953
Comedy,44,1953
History,8,1953
Western,20,1953
Mystery,6,1953
Adventure,21,1953
Fantasy,6,1953
Animation,4,1953
Drama,101,1953
Documentary,5,1953
Thriller,23,1953
Science Fiction,17,1953
Horror,8,1953
Action,22,1953
Romance,42,1953
Family,8,1953
War,11,1954
Animation,3,1954
Music,12,1954
Comedy,46,1954
History,8,1954
Western,22,1954
Adventure,27,1954
Fantasy,3,1954
Crime,28,1954
Documentary,1,1954
Drama,92,1954
Mystery,9,1954
Science Fiction,12,1954
Family,3,1954
Horror,9,1954
Action,24,1954
Romance,44,1954
Thriller,27,1954
War,13,1955
Animation,2,1955
Music,10,1955
Comedy,51,1955
History,9,1955
Western,23,1955
Crime,36,1955
Adventure,17,1955
Fantasy,5,1955
Mystery,10,1955
Drama,117,1955
Documentary,3,1955
Science Fiction,10,1955
Family,12,1955
Horror,12,1955
Action,27,1955
Romance,50,1955
Thriller,22,1955
War,18,1956
Animation,3,1956
Music,15,1956
Comedy,46,1956
History,10,1956
Western,30,1956
Crime,22,1956
Adventure,24,1956
Fantasy,8,1956
Mystery,8,1956
Drama,117,1956
Documentary,5,1956
Science Fiction,20,1956
Family,10,1956
Horror,15,1956
Action,31,1956
Romance,41,1956
Thriller,19,1956
War,20,1957
Animation,5,1957
Music,9,1957
Comedy,49,1957
History,9,1957
Western,24,1957
Thriller,20,1957
Adventure,21,1957
Fantasy,11,1957
Crime,19,1957
Documentary,5,1957
Drama,121,1957
Mystery,8,1957
Science Fiction,21,1957
Horror,24,1957
Action,21,1957
Romance,43,1957
Family,8,1957
War,21,1958
Mystery,6,1958
Music,8,1958
Comedy,38,1958
History,10,1958
Western,24,1958
Adventure,21,1958
Fantasy,8,1958
Crime,21,1958
Drama,99,1958
Documentary,5,1958
Science Fiction,33,1958
Family,4,1958
Horror,32,1958
Action,31,1958
Romance,37,1958
Thriller,21,1958
War,23,1959
Crime,23,1959
Music,7,1959
Comedy,45,1959
History,8,1959
Western,17,1959
Adventure,21,1959
Fantasy,11,1959
Animation,5,1959
Foreign,2,1959
Drama,116,1959
Mystery,14,1959
Science Fiction,24,1959
Documentary,6,1959
Family,10,1959
Horror,26,1959
Action,27,1959
Romance,33,1959
Thriller,29,1959
War,13,1960
Animation,1,1960
Music,10,1960
Comedy,47,1960
History,14,1960
Western,11,1960
Crime,29,1960
Adventure,21,1960
Fantasy,13,1960
Mystery,9,1960
Foreign,2,1960
Drama,117,1960
Documentary,3,1960
Science Fiction,15,1960
Family,10,1960
Horror,20,1960
Action,24,1960
Romance,43,1960
Thriller,27,1960
War,12,1961
Crime,18,1961
Music,5,1961
Comedy,51,1961
History,9,1961
Western,7,1961
Mystery,12,1961
Fantasy,12,1961
Adventure,24,1961
Drama,102,1961
Science Fiction,18,1961
Animation,3,1961
Foreign,1,1961
TV Movie,1,1961
Documentary,4,1961
