,name,gender,all_time_final_score
15831,Frank Welker,2,148.14623879118153
37917,Kristen Stewart,1,147.68488665514744
5576,Val Kilmer,2,147.61556890654626
4566,Alan Rickman,2,147.5951031481366
887,Owen Wilson,2,147.54689081329028
4724,Kevin Bacon,2,147.50384896902295
11701,Angelina Jolie,1,147.3269307947417
3636,Paul Newman,2,146.6140957783869
12052,Gwyneth Paltrow,1,144.86330219672647
935,Connie Nielsen,1,144.85649613815875
16940,Jeremy Irons,2,144.63039886321124
3084,Marlon Brando,2,144.59183754250765
6283,Michael Nyqvist,2,144.0576544403487
504,Tim Robbins,2,143.9752034279208
24045,Joseph Gordon-Levitt,2,143.71627361467282
6941,Cameron Diaz,1,143.4809352462461
1771,Giovanni Ribisi,2,143.47315798933911
517,Pierce Brosnan,2,142.8976631975653
529,Guy Pearce,2,142.89179298401783
205,Kirsten Dunst,1,142.40035254912715
585,Rutger Hauer,2,141.22186612233884
19292,Adam Sandler,2,141.03180304261483
21088,Alan Tudyk,2,140.86415854552993
16927,Gérard Depardieu,2,140.7003635235353
515,Glenn Close,1,140.59626298632554
9281,Elizabeth Banks,1,140.2490592579576
518,Danny DeVito,2,140.18959587050034
776,Eddie Murphy,2,140.04577378128167
2524,Tom Hardy,2,140.0081736851023
3129,Tim Roth,2,139.46284733114726
1016168,Lily James,1,139.36102244298277
12094,Jennifer Saunders,1,138.9806227343632
4764,John C. Reilly,2,138.88661181190855
2387,Patrick Stewart,2,138.65785174192268
18324,Steve Zahn,2,138.4463372417237
2053,Bill Paxton,2,138.1501962365072
2047,Danny Glover,2,138.06780963569852
110,Viggo Mortensen,2,137.02269679553825
207,Tom Wilkinson,2,136.33636778530132
12132,Michael Rooker,2,135.9099815090793
17605,Idris Elba,2,135.69579106047155
10989,Rupert Grint,2,135.63587505767504
22226,Paul Rudd,2,135.30336190421016
388,Jim Broadbent,2,135.06127544561943
5530,James McAvoy,2,134.88187430613021
5472,Colin Firth,2,134.52972121279075
1241,John Turturro,2,134.23646754567451
2440,Bill Nighy,2,134.08557252376227
70851,Jack Black,2,133.9704454183168
2372,Ron Perlman,2,133.93471735951067
1810,Heath Ledger,2,133.62453274515866
3293,Rachel Weisz,1,132.68990682543236
1813,Anne Hathaway,1,131.74895954123662
9273,Amy Adams,1,131.74143898309785
3092,Diane Keaton,1,131.73610611317292
71580,Benedict Cumberbatch,2,131.66171389821508
2201,Max von Sydow,2,130.94274417500557
11108,Simon Pegg,2,130.8649924269582
18918,Dwayne Johnson,2,130.63018645916483
5658,Michael Gambon,2,130.33686814959256
53650,Anthony Mackie,2,129.92791104357795
48,Sean Bean,2,129.7917486710282
41091,Kristen Wiig,1,129.65302969360513
6162,Paul Bettany,2,129.10771479095908
4512,James Woods,2,128.82661744533186
3085,James Caan,2,128.70705580983108
1062,Christopher Lloyd,2,128.1106316879742
19498,Jon Bernthal,2,127.79220959285337
10127,Jon Voight,2,127.51016377862152
4958,Henry Fonda,2,127.31249888990966
69597,Drew Barrymore,1,127.1276566152803
515510,Ryan Potter,2,127.0894897364214
543530,Dave Bautista,2,127.04225752562235
7624,Stan Lee,2,126.86912141171908
3063,Tilda Swinton,1,126.72498214622006
2983,Mark Strong,2,126.08970032513069
1920,Winona Ryder,1,125.7847159833439
1160,Michelle Pfeiffer,1,125.76728121072792
6807,Sam Rockwell,2,125.65295562806953
8784,Daniel Craig,2,125.63710233676382
3905,William H. Macy,2,125.52140416868954
1205,Richard Gere,2,125.1968336918805
67773,Steve Martin,2,125.05659215904392
1003,Jean Reno,2,124.48059508843615
54415,Josh Gad,2,124.24780870676015
3810,Javier Bardem,2,124.14918526181903
1733,Nick Nolte,2,123.78616681190316
707,Dan Aykroyd,2,123.66148360876977
1331,Hugo Weaving,2,123.33818414531387
2037,Cillian Murphy,2,123.08018325892989
501,Dakota Fanning,1,122.92128443069863
3967,Kate Beckinsale,1,122.45643250678432
1925,Vincent Cassel,2,122.39651047417438
17276,Gerard Butler,2,122.36613502021528
7132,Vincent D'Onofrio,2,121.99608033046687
8349,Martin Sheen,2,121.88865771930563
10978,Maggie Smith,1,121.5856325537176
5916,Rosario Dawson,1,121.36968144793155
23659,Will Ferrell,2,121.08591222243102
65,Ian Holm,2,120.61905515521414
53714,Rachel McAdams,1,120.5974495412461
4110,Humphrey Bogart,2,120.10458377851172
