actor_id,relative_position,name,gender,all_time_final_score,final_score,actor_id
2231,0.8291645882870173,Samuel L. Jackson,2,457.343116678874,0.01169377164802574,2231
31,0.8248423661668015,Tom Hanks,2,392.26903862409074,0.010029897455484316,31
18277,0.8229845193532647,Sandra Bullock,1,390.5348017356965,0.009985554883317205,18277
85,0.8475844057934944,Johnny Depp,2,390.5018982427826,0.009984713576389153,85
380,0.7753167434892279,Robert De Niro,2,387.9057361089489,0.009918332502645743,380
3895,0.6767969974148801,Michael Caine,2,374.40415142073664,0.009573111502323364,3895
6384,0.8160428722543713,Keanu Reeves,2,367.51023675538283,0.009396841518327457,6384
62,0.8288303072697322,Bruce Willis,2,365.42308237389335,0.009343475225403774,62
3223,0.8057379307892653,Robert Downey Jr.,2,349.86696782807974,0.008945722106147786,3223
65717,0.9228411902949891,Jon Hamm,2,346.2606963449038,0.008853513622654517,65717
192,0.8347158015717019,Morgan Freeman,2,339.4367479125887,0.008679032599992864,192
287,0.8179899612137805,Brad Pitt,2,327.70813154256837,0.008379144492844168,287
10990,0.9174174469213918,Emma Watson,1,321.442384249914,0.008218936073011355,10990
8691,0.9092464687947234,Zoe Saldana,1,317.705480820784,0.008123387471146961,8691
2232,0.7975311087660748,Michael Keaton,2,312.88762986042804,0.008000200203404209,2232
57755,0.8521202574534406,Woody Harrelson,2,312.27721564172236,0.007984592568296273,57755
3,0.7320934406204049,Harrison Ford,2,297.6883434969454,0.007611570797022839,3
118,0.8636052516956008,Geoffrey Rush,2,296.0345223741473,0.007569284369499628,118
3894,0.832637759229135,Christian Bale,2,289.02466121895003,0.007390049758452008,3894
64,0.8200707574424209,Gary Oldman,2,286.80295616789806,0.007333243149608892,64
3896,0.8405987303292854,Liam Neeson,2,283.18767645488947,0.007240804335366616,3896
1245,0.8851450853504247,Scarlett Johansson,1,283.05279410369536,0.007237355538704573,1245
3061,0.8745199325533928,Ewan McGregor,2,281.11231023116574,0.00718773945295954,3061
10205,0.8307577432834105,Sigourney Weaver,1,280.70263531564177,0.007177264505950718,10205
880,0.8389811029881433,Ben Affleck,2,278.7561190858803,0.00712749417931871,880
1892,0.8578862268831312,Matt Damon,2,274.1200484192464,0.007008954838192487,1892
5293,0.8321789730484767,Willem Dafoe,2,267.62486494317693,0.006842879981894788,5293
16828,0.9123074823213925,Chris Evans,2,265.0166456390928,0.006776190619274842,16828
1979,0.821782469754749,Kevin Spacey,2,264.23910808806977,0.006756309820290802,1979
18897,0.7156466559272856,Jackie Chan,2,260.98325261618265,0.006673061097354506,18897
8891,0.7735903608770562,John Travolta,2,258.61688685975696,0.00661255566984901,8891
500,0.7940773456086488,Tom Cruise,2,258.48447853335267,0.006609170131340173,500
1158,0.7577829748415934,Al Pacino,2,258.25717625524607,0.006603358256539133,1158
2963,0.828527297313294,Nicolas Cage,2,255.14435684603316,0.006523766811898594,2963
10859,0.8903311323444079,Ryan Reynolds,2,249.96079169794066,0.006391228625679382,10859
73457,0.9362964345715886,Chris Pratt,2,246.00757711460915,0.0062901491802319,73457
62064,0.9317763003594626,Chris Pine,2,245.23071910501733,0.0062702857563914464,62064
32,0.8449921237665755,Robin Wright,1,242.67724882854645,0.006204996267528233,32
1333,0.8704354609347847,Andy Serkis,2,238.92055080618528,0.006108941539202832,1333
2157,0.797465818600691,Robin Williams,2,237.00146097167897,0.006059872476002038,2157
16483,0.718722277038499,Sylvester Stallone,2,235.65876655158425,0.006025541223668593,16483
19,0.8769563834071217,Allison Janney,1,234.7095923134377,0.0060012718591799,19
1230,0.8302051399492075,John Goodman,2,228.9424972863916,0.005853813441507697,1230
4495,0.9005040134403585,Steve Carell,2,226.4630262073796,0.005790416032541753,4495
190,0.6043958703096279,Clint Eastwood,2,224.29321013437942,0.005734936169063897,190
2282,0.8541054765679824,Ben Kingsley,2,221.4481022666053,0.005662189820630032,2282
11207,0.8462860719020886,David Thewlis,2,220.98554276857467,0.005650362671720749,11207
12835,0.871850953062452,Vin Diesel,2,220.8091006002109,0.005645851235228799,12835
6193,0.8335559781594176,Leonardo DiCaprio,2,217.53107306065118,0.005562035596366857,6193
1327,0.7976981406372855,Ian McKellen,2,215.7158580790555,0.0055156225014437316,1327
51329,0.9211856760624728,Bradley Cooper,2,214.9718120501705,0.005496598044662609,51329
2283,0.8457166834990241,Stanley Tucci,2,212.48884156635899,0.005433111159679343,2283
8945,0.7896496287520047,Kevin Kline,2,212.26884331436625,0.005427486040970981,8945
4581,0.9056186717950722,Steve Coogan,2,212.20102259382682,0.005425751938083963,4581
4483,0.767005068853118,Dustin Hoffman,2,210.68483562674996,0.005386984667905152,4483
13240,0.8798256348564357,Mark Wahlberg,2,210.0337514451527,0.005370337145584212,13240
90633,0.9532048127344002,Gal Gadot,1,209.56372937449603,0.005358319186718437,90633
55636,0.7099890451716839,Donald Sutherland,2,208.73051537961936,0.005337014800941779,55636
1231,0.8407901475663282,Julianne Moore,1,206.7933584500048,0.005287483781549155,1231
5292,0.7970406062680193,Denzel Washington,2,205.84052994073738,0.005263120981277854,5292
514,0.6165016642159192,Jack Nicholson,2,205.4927248214891,0.005254227978422496,514
51990,0.9404842100137162,T.J. Miller,2,204.61550251536386,0.005231798347455543,51990
134,0.8731738109507482,Jamie Foxx,2,202.8538054299722,0.0051867536475830225,134
4173,0.7702103167195569,Anthony Hopkins,2,201.6828400349776,0.0051568133217369866,4173
1037,0.7442424105668455,Harvey Keitel,2,199.94445311263848,0.005112364637665018,1037
1229,0.7345831569593027,Jeff Bridges,2,199.48658547822384,0.005100657454662579,1229
